Exchange,Index,Symbol_File,Date,Open,High,Low,Close
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-03-31,35963.15,36397.4,35939.4,36287.75
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-04-01,36321.45,36829.9,36229.9,36712.15
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-04-04,36767.7,37259.85,36613.85,37191.75
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-04-05,37358.75,37866.65,37220.9,37656.8
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-04-06,37477.15,37761.2,37307.35,37588.9
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-04-07,37518.85,37846.2,37507.9,37561.7
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-04-08,37710.4,38378.8,37607.8,38322.65
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-04-11,38398.7,38533.35,38024.35,38236.25
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-04-12,38088.55,38181.7,37797.15,37931.4
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-04-13,38034.6,38309.75,37894.7,38191.4
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-04-18,38028.6,38527.1,37952.4,38422.1
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-04-19,38609.45,38808.7,37102.55,37337.4
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-04-20,37517.4,37867.65,37270.7,37722.8
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-04-21,37859.95,38087.35,37773.7,38005.9
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-04-22,37838.3,38093.6,37661.05,37775.45
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-04-25,37317.9,37674.3,36926.05,37167.4
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-04-26,37528.65,37985.6,37505.25,37866.7
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-04-27,37615.45,37800.2,37374.15,37634.5
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-04-28,38106.15,38608.25,37854.7,38460.25
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-04-29,38592.45,38781.05,38086.55,38204.15
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-05-02,38008.7,38341.6,37886.45,38285.3
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-05-04,38432.45,38737.35,37495.15,37621.8
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-05-05,37869.75,37990.55,37322.8,37408.05
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-05-06,36915.95,37419.3,36762.65,37279.3
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-05-09,37078.25,37123.6,36553.6,36732.0
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-05-10,36789.4,37311.3,36712.45,36911.9
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-05-11,36897.3,37056.8,36151.1,36658.4
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-05-12,36582.8,36612.85,35826.7,36221.75
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-05-13,36610.2,37371.55,36520.65,36887.15
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-05-16,37067.35,37095.25,36653.9,36759.5
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-05-17,36959.6,37606.55,36865.65,37518.75
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-05-18,37579.3,38033.15,37531.3,37989.05
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-05-19,37355.9,38136.5,37355.9,37740.45
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-05-20,38055.05,38699.15,37989.2,38546.35
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-05-23,38551.6,38784.3,38308.0,38510.8
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-05-24,38625.5,38625.95,37922.5,38010.85
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-05-25,38257.25,38334.3,37798.85,37930.95
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-05-26,37796.25,37924.2,37346.3,37849.2
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-05-27,38126.6,38343.25,37825.4,38242.7
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-05-30,38444.3,38731.7,38314.2,38610.4
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-05-31,38627.4,38957.95,38185.4,38713.45
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-06-01,38793.1,39280.75,38356.85,38434.55
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-06-02,38332.05,38567.95,37952.2,38497.3
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-06-03,38638.3,38677.3,38212.0,38273.9
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-06-06,38190.15,38399.3,37741.35,38238.45
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-06-07,37940.6,38013.15,37494.8,37648.85
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-06-08,37632.4,37689.2,37121.65,37254.35
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-06-09,37229.4,37545.0,36862.55,37440.65
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-06-10,37083.45,37496.2,37059.9,37428.7
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-06-13,36999.25,37318.7,36929.0,37078.1
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-06-14,36979.05,37297.2,36820.2,36999.15
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-06-15,37072.4,37096.35,36756.2,36830.9
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-06-16,37098.2,37178.35,36440.15,36621.15
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-06-17,36519.95,36590.15,36024.05,36264.55
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-06-20,36300.1,37046.6,36179.0,36915.75
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-06-21,36990.95,37463.3,36879.5,37317.75
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-06-22,37092.75,37386.9,36883.15,36963.3
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-06-23,36998.95,37355.55,36943.55,37316.5
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-06-24,37449.25,37872.15,37449.25,37778.85
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-06-27,38027.1,38219.7,37875.15,38103.2
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-06-28,38035.1,38252.1,37712.2,38173.1
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-06-29,37862.45,37913.85,37605.1,37688.35
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-06-30,37637.35,37794.55,37415.8,37664.55
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-07-01,37562.45,38814.65,37428.4,38725.85
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-07-04,38761.3,39792.85,38761.3,39755.65
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-07-05,39895.9,39904.2,39619.95,39690.6
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-07-06,39589.4,40799.35,39589.4,40740.15
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-07-07,40906.45,41170.65,40650.25,40708.7
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-07-08,40844.2,40961.1,40675.75,40925.25
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-07-11,40859.5,41208.1,40778.5,41043.15
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-07-12,40815.2,40975.35,40513.4,40574.8
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-07-13,40681.15,41103.45,40681.15,40954.4
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-07-14,41014.45,41329.3,40651.85,40897.3
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-07-15,41138.2,41534.55,40994.75,41498.8
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-07-18,41710.3,41902.25,41335.0,41460.3
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-07-19,41427.9,41508.7,41211.5,41479.85
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-07-20,41636.4,42004.7,41465.65,41950.15
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-07-21,42059.55,42360.95,42003.75,42283.0
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-07-22,42404.65,42555.1,42205.6,42502.75
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-07-25,42450.6,42566.5,42291.75,42386.95
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-07-26,42397.15,42400.15,41718.95,41799.05
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-07-27,41715.45,42085.3,41635.65,42036.3
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-07-28,42301.05,42348.6,41916.2,42271.65
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-07-29,42472.95,42584.75,42156.9,42487.4
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-08-01,42582.95,42610.5,42343.35,42526.75
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-08-02,42739.75,43221.85,42587.45,42798.5
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-08-03,42743.3,42896.95,42257.05,42624.15
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-08-04,42607.75,42874.3,42435.7,42830.25
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-08-05,42891.8,43117.15,42845.95,42930.9
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-08-08,42961.75,43040.1,42830.6,42978.5
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-08-10,43067.15,43245.6,42709.2,42821.6
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-08-11,43047.05,43143.9,42382.7,42478.5
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-08-12,42536.2,42547.25,42126.85,42457.3
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-08-16,42603.6,43132.35,42566.25,42964.1
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-08-17,43081.95,43326.65,43041.2,43275.85
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-08-18,43307.3,43653.25,43264.05,43522.3
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-08-19,43626.35,43671.4,42865.5,42945.35
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-08-22,42947.9,43222.1,42751.75,42890.65
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-08-23,42625.6,43017.25,42584.35,42937.65
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-08-24,42847.55,43205.95,42768.05,42999.7
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-08-25,43189.4,43364.35,42738.65,42830.05
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-08-26,43103.95,43159.75,42698.95,42768.95
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-08-29,42286.55,43045.0,42226.55,42933.9
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-08-30,43106.55,43870.05,43100.45,43821.15
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-09-01,43549.6,43638.1,43281.45,43497.35
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-09-02,43647.65,43832.45,43449.9,43666.55
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-09-05,43736.0,43836.6,43563.3,43755.85
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-09-06,43832.3,43958.15,43426.15,43528.9
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-09-07,43443.4,43780.05,43403.6,43614.95
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-09-08,43883.9,43963.6,43600.6,43786.45
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-09-09,44072.8,44305.2,43772.4,43837.7
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-09-12,43968.1,44069.3,43863.75,43921.85
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-09-13,44095.65,44330.6,43995.1,44251.55
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-09-14,43800.55,44529.95,43786.75,44182.65
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-09-15,44343.1,44499.25,43954.4,44041.6
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-09-16,43929.35,43991.45,43101.6,43192.65
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-09-19,43131.8,43722.9,42877.1,43655.65
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-09-20,43980.0,44259.35,43866.35,43981.25
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-09-21,43989.8,44674.95,43945.1,44500.15
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-09-22,44484.75,45228.15,44460.75,45080.45
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-09-23,45227.15,45237.95,44780.15,44854.65
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-09-26,44638.3,44825.05,43845.3,43937.4
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-09-27,44136.55,44599.9,44049.8,44218.15
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-09-28,44000.3,44310.3,43704.7,43964.65
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-09-29,44290.35,44531.2,44130.8,44356.25
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-09-30,44393.65,44590.65,44037.9,44405.65
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-10-03,44519.65,44654.45,43365.05,43477.3
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-10-04,44034.05,44319.05,43871.3,44287.05
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-10-06,44478.6,44518.5,44023.0,44097.2
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-10-07,44056.1,44105.65,43534.3,43813.3
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-10-10,43278.6,43413.5,42996.6,43329.2
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-10-11,43466.9,43473.75,42461.8,42564.65
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-10-12,42739.15,43267.15,42559.2,43196.85
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-10-13,43180.85,43319.85,42995.65,43036.65
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-10-14,43474.2,43646.35,43105.2,43153.05
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-10-17,43073.85,43406.95,42924.5,43182.9
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-10-18,43465.4,43859.05,43389.25,43715.75
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-10-19,43923.1,44055.9,43665.9,43890.55
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-10-20,43824.4,44365.1,43821.55,44281.15
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-10-21,44467.75,44670.8,44080.7,44269.2
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-10-24,44372.9,44471.25,44090.5,44210.1
NSE,NIFTY_FMCG,NIFTY_FMCG_2022-01-01_to_2022-12-31,2022-10-25,44332.6,44342.3,43659.45,43752.85
