Exchange,Index,Symbol_File,Date,Open,High,Low,Close
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-08-05,2504.9,2506.45,2425.65,2442.05
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-08-06,2449.3,2472.1,2431.2,2443.0
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-08-09,2459.35,2466.15,2394.95,2404.9
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-08-10,2411.05,2422.2,2327.1,2342.25
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-08-11,2352.1,2360.7,2310.6,2353.75
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-08-12,2360.55,2390.8,2350.9,2383.45
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-08-13,2387.2,2396.6,2367.65,2388.2
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-08-16,2382.45,2399.25,2359.0,2364.45
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-08-17,2359.55,2359.65,2301.15,2322.15
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-08-18,2324.6,2346.05,2314.55,2328.6
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-08-20,2295.8,2312.2,2237.5,2248.5
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-08-23,2271.1,2277.25,2204.7,2236.7
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-08-24,2236.9,2282.0,2231.55,2277.55
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-08-25,2287.85,2297.35,2267.8,2276.95
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-08-26,2275.8,2291.05,2253.9,2258.45
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-08-27,2258.25,2277.3,2242.1,2272.9
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-08-30,2287.55,2325.7,2283.5,2319.35
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-08-31,2322.05,2361.7,2300.05,2335.1
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-09-01,2336.55,2366.15,2327.05,2355.15
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-09-02,2360.7,2369.25,2339.3,2344.45
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-09-03,2351.75,2392.85,2348.25,2361.1
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-09-06,2374.85,2380.95,2353.1,2356.65
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-09-07,2360.55,2362.5,2313.4,2327.3
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-09-08,2327.5,2373.7,2322.35,2343.75
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-09-09,2349.0,2363.75,2341.25,2350.0
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-09-13,2346.55,2351.4,2330.3,2340.35
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-09-14,2348.85,2360.75,2342.0,2344.6
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-09-15,2350.2,2416.75,2343.65,2411.0
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-09-16,2416.45,2552.2,2402.85,2541.95
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-09-17,2573.05,2579.35,2439.7,2466.6
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-09-20,2433.95,2454.75,2358.1,2363.4
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-09-21,2373.6,2383.65,2322.85,2362.2
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-09-22,2369.35,2391.6,2363.0,2373.45
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-09-23,2393.85,2423.25,2392.95,2401.65
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-09-24,2413.55,2414.4,2351.05,2357.6
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-09-27,2374.75,2394.3,2364.2,2369.0
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-09-28,2383.7,2418.25,2368.0,2398.3
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-09-29,2381.5,2478.05,2370.35,2463.45
NSE,NIFTY_PSU_BANK,NIFTY_PSU_BANK_2021-01-01_to_2021-12-31,2021-09-30,2479.3,2537.85,2474.6,2483.05
